application	biotools_ID
https://biocontainers.pro/tools/lightassembler	https://bio.tools/LightAssembler
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/lighter	https://bio.tools/Lighter
https://biocontainers.pro/tools/lighter	https://bio.tools/Lighter
https://github.com/galaxyproject/tools-iuc/tree/master/tools/mafft	https://bio.tools/MAFFT
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/mapdia	https://bio.tools/MAPDIA
https://biocontainers.pro/tools/mapdia	https://bio.tools/MAPDIA
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/mg-toolkit	https://bio.tools/MGnify
https://github.com/galaxyproject/tools-iuc/tree/master/tools/mmseqs2	https://bio.tools/MMseqs2
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/moods	https://bio.tools/MOODS
https://biocontainers.pro/tools/moods	https://bio.tools/MOODS
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/msgf_plus	https://bio.tools/MSGFplus
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/manta	https://bio.tools/Manta9235
https://biocontainers.pro/tools/manta	https://bio.tools/Manta9235
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/maxquant	https://bio.tools/MaxQuant
https://biocontainers.pro/tools/maxquant	https://bio.tools/MaxQuant
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/merlin	https://bio.tools/Merlin
https://biocontainers.pro/tools/merlin	https://bio.tools/Merlin
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/metabat2	https://bio.tools/MetaBAT_2
https://github.com/galaxyproject/tools-iuc/tree/master/tools/metabat2	https://bio.tools/MetaBAT_2
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/metacompass	https://bio.tools/MetaCompass
https://github.com/galaxyproject/tools-iuc/tree/master/tools/metaeuk	https://bio.tools/MetaEuk
https://github.com/galaxyproject/tools-iuc/tree/master/tools/migmap	https://bio.tools/MiGMAP
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/migraine	https://bio.tools/Migraine
https://biocontainers.pro/tools/migraine	https://bio.tools/Migraine
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/monovar	https://bio.tools/Monovar
https://biocontainers.pro/tools/monovar	https://bio.tools/Monovar
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/mykrobe	https://bio.tools/Mykrobe
https://github.com/galaxyproject/tools-iuc/tree/master/tools/mykrobe	https://bio.tools/Mykrobe
https://github.com/bioconda/bioconda-recipes/tree/master/recipes/nlstradamus	https://bio.tools/NLStradamus
